input1,input2,class
26.90167281,40.5030863,none
26.19255619,40.45305922,none
36.19875688,66.59692185,none
54.69643498,501.4542352,index
44.59428214,59.29544671,none
27.21212965,40.85156056,none
26.11895863,40.65279818,none
26.55466061,40,none
33.42678567,85.48742598,none
60.47520153,387.6273339,index
44.67493705,47.39883965,none
26.81231061,40.60295556,none
26.41022529,40.35281898,none
29.40748204,46.86736605,none
42.81822042,315.9226171,index
55.03953125,254.7836337,none
29.63865719,41.68752811,none
26.55466061,40.60295556,none
26.30399209,40.50678955,none
31.45155004,62.75627459,none
60.32868306,373.9344194,index
61.2000817,72.92873234,none
28.11938833,41.10474425,none
26.8523742,40.70257977,none
26.90167281,41.84853641,none
32.80777347,76.61853562,none
46.84655804,500.8739362,index
37.58324095,58.55681002,none
27.36329659,40.25232913,none
26.00576859,40.15158776,none
27.00555498,40.45305922,none
32.09205509,69.78001146,none
50.99411731,373.1582104,index
38.0985564,55.20824214,none
27.56174886,40.25232913,none
26.8523742,40.60295556,index
26.30399209,40.30260537,none
30.95076736,74.60965085,none
59.23259238,415.7558779,index
41.15762384,90.28621157,none
27.92400401,40.65525796,none
26.00576859,40.45305922,none
26.11321505,40.75230055,none
28.06777512,59.45082001,none
42.64504661,381.5574662,index
44.18427322,118.106308,none
32.34810659,40.80441153,none
26.70954885,40.25232913,none
26.96015579,40.55305167,none
26.8598213,41.30980513,none
37.07087806,97.44382997,none
55.29511733,471.202239,index
32.74370168,47.9885403,none
26.15817272,40.40297019,none
26.00576859,40.35281898,none
26.35431653,40.45305922,none
37.5,87.94714322,none
44.11915684,474.3822299,index
46.76804465,93.92177596,none
27.44813291,41,none
26.15243774,40.5030863,none
26.26118809,40.60295556,index
26.35811071,40.30260537,none
38.54737345,150.9085816,none
54.6145585,476.2685692,index
36.39161991,45.90860486,none
27.75878239,40.050593,none
26.05666901,40.15158776,none
26.45467823,40.40297019,none
31.48729903,72.02881368,none
47.00638255,464.762789,index
42.62510997,82.5069694,none
27.82804341,40.70257977,none
26.90724809,40.40297019,none
26.7591106,40.40297019,none
26.8523742,40.72836849,none
38.30535211,89.68500432,none
46.46611669,462.5945309,index
37.95260202,74.0374905,none
27.01295985,40.25232913,none
26.75350444,40.30260537,none
27.06011826,40.5030863,none
27.18731322,51.63671175,none
37.51932835,223.3674103,none
56.26055457,321.7617908,index
49.27626203,42.48411468,none
27.87920372,40.60295556,none
26.45467823,40.45305922,none
25.85246603,40.30260537,none
27.67941473,42.82230727,none
39.19948979,96.89504631,none
46.66636905,418.1631261,index
37.31889602,46.02119077,none
27.36877783,40.40297019,none
26.35431653,40.40297019,none
27.01110883,41.81506905,none
33.40434104,83.43680243,none
46.09717996,396.3377348,index
39.01281841,48.86051576,none
27.26444571,40.70626487,none
26.40643861,40.40297019,none
26.0115359,40.85523222,none
30.00916527,49.73932046,none
32.52537471,69.53380473,none
40.99085264,350.8584472,index
52.35217283,69.86129114,none
27.48908874,40.80441153,none
25.75364052,40.45305922,none
25.75364052,40.60295556,none
26.5678377,41.51264867,none
31.81194744,74.09723342,none
41.36121372,508.099941,index
54.12947441,115.8511977,none
30.08903455,41.15519408,none
26.6045109,40.20199,none
26.51037533,40.45305922,none
26.1074702,40.45305922,none
26.06626172,41.899284,none
31.79779867,69.82943505,none
43.38548144,348.6015634,index
36.19461286,74.15996224,none
27.33313008,40.55305167,none
25.56071204,40.25232913,none
29.07490327,48.36320916,none
35.22853957,184.1659578,none
48.65593489,249.6548618,index
33.04012712,42.44113571,none
26.80671558,40.15158776,none
25.91910492,40.30260537,none
30.11893092,52.09078613,none
41.93089553,396.9688275,index
42.4140307,245.8785269,none
27.96068669,41.42583735,none
26.11895863,40.55305167,none
26.25928407,40.40297019,none
25.85826754,40.20199,none
31.30575027,72.0433897,none
53.44950888,437.7072081,index
40.35839442,47.99322869,none
27.0656609,40.40297019,none
26.0115359,40.30260537,none
25.75946428,40.20199,none
28.28957405,66.38486273,none
40.23058538,203.4837831,none
57.09334462,326.9996942,index
38.05062417,42.63390669,none
26.30969403,40.15158776,none
26.10172408,40.30260537,none
26.31729469,40.45305922,none
26.98796028,41.20254846,none
46.16492175,169.0581261,none
57.69488712,409.7044667,index
63.03649736,43.92322848,none
27.41532418,40.45305922,none
26.25547562,40.45305922,none
26.45467823,40.15158776,none
28.35401206,46.53654478,none
36.56911265,77.69716855,none
40.25853947,431.2098677,index
36.62308015,44.10838922,none
27.64416756,40.45305922,none
26.36948995,40.55305167,index
