input1,input2,class
39.72719472,111.7629187,none
30.82531427,41.67673212,none
29.60405378,40.30260537,none
29.16247589,40.15158776,none
33.20542124,40.65525796,none
33.062819,40.75352745,thumb
32.30325061,40.25232913,none
33.20993827,40.30260537,none
39.92743418,145.761792,thumb
42.69660408,112.6692061,none
34.28775292,45.68588403,none
33.00908966,40.5030863,none
34.0580387,40.30260537,none
33.303153,40.55305167,none
32.40370349,40.70257977,thumb
32.95982403,40.40297019,none
32.45843496,40.70257977,none
41.40410608,111.163843,none
42.59518752,134.2197824,thumb
34.15625858,43.98806656,none
34,40.70257977,none
30.99435432,40.55305167,none
29.57448224,40.25232913,none
32.86107119,40.35281898,none
32.60521431,41.68392976,none
31.75295262,53.33901011,thumb
32.40370349,40.60418698,none
33.75722145,40.40297019,none
33.303153,40.60295556,none
39.91177771,133.3294791,thumb
38.81172503,101.0118805,none
35.11837126,42.23624036,none
35.31571888,40.85156056,none
34.77139629,40.85156056,none
33.75722145,40.60295556,none
32.55380162,40.60295556,none
33.60357124,40.30260537,none
33.75277766,40.70257977,none
33.40359262,40.70257977,none
40.57647101,133.3975262,thumb
42.98837052,78.12649999,none
39.70264475,45.77936216,none
40.33980664,41.4602219,none
35.36877154,40.55305167,none
34,40.55305167,none
33.05979431,40.55305167,none
33.45818286,40.60295556,none
33.91017546,40.60295556,none
33.15644734,40.45305922,none
35.30368253,88.49915254,none
46.53815639,139.6957408,thumb
41.40229462,53.34135356,none
34.26149442,41.30980513,none
34.21841609,40.80196074,none
33.95511743,40.45305922,none
32.80548735,40.85156056,thumb
33.062819,40.5030863,none
32.97347419,40.45305922,none
33.303153,40.55305167,none
46.99840423,147.7061272,thumb
44.19898189,111.2382578,none
38.07098633,43.75385697,none
35.76101229,40.55305167,none
35.92213802,40.70626487,thumb
34.85613289,40.45305922,none
34.35622214,40.80196074,thumb
34.15333073,40.40297019,none
35.00428545,40.45305922,none
34.25711605,40.95057997,none
50.62459876,130.7191646,thumb
39.91929358,101.8002947,none
35.96595613,44.08684611,none
36.08808668,41.62090821,none
34.0580387,40.55305167,none
34.66482367,40.65279818,thumb
33.60357124,40.45305922,none
33.75277766,40.25232913,none
33.45369935,40.70257977,none
43.65203317,150.5209288,thumb
44.3632731,135.6108403,none
37.17996772,44.88708055,none
34.96355245,40.70257977,none
34.85613289,40.45305922,none
33.85188326,40.65279818,none
34.05510241,40.85156056,thumb
37.72664841,40.55305167,none
39.77499214,41,none
40.66325122,50.78877829,none
56.9482221,174.3654209,thumb
42.70128804,60.82392621,none
36.92627791,41.94758634,none
35.60337063,40.40297019,none
35.20937375,40.40297019,none
33.95953474,40.55305167,none
36.62785825,42.55467072,none
35.57456957,59.51890456,none
41.66173304,150.959266,thumb
37.43728088,79.1403816,none
34.55358158,43.78641342,none
35.16887829,41.36242256,none
33.65635156,40.70257977,none
34.30306109,40.35281898,none
34.31617694,40.75230055,thumb
33.85188326,40.70257977,none
37.08099244,83.72305537,none
47.51578685,179.2618197,thumb
41.67853164,61.46543744,none
37.48533046,41.4113511,none
33.35790761,40.60295556,none
34.21841609,40.85156056,thumb
31.85200151,40.70257977,none
31.70804314,40.40297019,none
31.42292157,40.55305167,thumb
31.00967591,40.35281898,none
33.71646482,53.5994403,none
46.34274485,148.927667,thumb
37.85960908,83.73440153,none
35.43444652,42.31666338,none
33.52909185,40.70257977,none
32.0585402,40.65279818,none
30.90792779,40.60295556,none
