0430,0401,0863
0430,0401,0319
0229,0401,0319
0229,0110,0319
0229,0110,0103
0127,0110,0103
0127,0054,0103
0127,0054,0051
0109,0054,0051
0109,0046,0051
0109,0046,0041
0111,0046,0041
0111,0028,0041
0111,0028,0038
0100,0028,0038
0100,0018,0038
0100,0018,0038
0095,0018,0038
0095,0015,0038
0095,0015,0038
0103,0015,0038
0103,0015,0038
0103,0015,0038
0104,0015,0038
0104,0015,0038
0104,0015,0037
0094,0015,0037
0094,0014,0037
0094,0014,0037
0099,0014,0037
0099,0014,0037
0099,0014,0037
0107,0014,0037
0107,0014,0037
0107,0014,0036
0098,0014,0036
0098,0017,0036
0098,0017,0084
0145,0017,0084
0145,0053,0084
0145,0053,0103
0500,0053,0103
0500,0539,0103
0500,0539,0430
0283,0539,0430
0283,0162,0430
0283,0162,0144
0140,0162,0144
0140,0060,0144
0140,0060,0060
0116,0060,0060
0116,0058,0060
0116,0058,0044
0115,0058,0044
0115,0053,0044
0115,0053,0040
0102,0053,0040
0102,0036,0040
0102,0036,0038
0098,0036,0038
0098,0025,0038
0098,0025,0039
0106,0025,0039
0106,0016,0039
0106,0016,0038
0102,0016,0038
0102,0016,0038
0102,0016,0038
0093,0016,0038
0093,0014,0038
0093,0014,0037
0102,0014,0037
0102,0018,0037
0102,0018,0038
